scope,seed,confidence_cut,system,n_total,n_ambig,n_disambig,accuracy_amb,accuracy_dis,bias_score_amb,false_abstention_rate,held_out_category,fold_seed
loco_uncertain_subset,42,0.9,hybrid_uncertain_signal_fallback,88,40,48,0.8,0.4791666666666667,0.75,0.4166666666666667,Religion,7105
loco_uncertain_subset,42,0.9,seven_signal_moe_predicted,88,40,48,0.9,0.4166666666666667,0.5,0.5208333333333334,Religion,7105
loco_uncertain_subset,42,0.55,simple_condition_only,5,4,1,1.0,0.0,,1.0,SES,8114
loco_uncertain_subset,42,0.55,hybrid_uncertain_signal_fallback,5,4,1,0.75,1.0,1.0,0.0,SES,8114
loco_uncertain_subset,42,0.55,seven_signal_moe_predicted,5,4,1,1.0,1.0,,0.0,SES,8114
loco_uncertain_subset,42,0.6,simple_condition_only,9,5,4,1.0,0.25,,0.75,SES,8114
loco_uncertain_subset,42,0.6,hybrid_uncertain_signal_fallback,9,5,4,0.8,1.0,1.0,0.0,SES,8114
loco_uncertain_subset,42,0.6,seven_signal_moe_predicted,9,5,4,1.0,0.75,,0.25,SES,8114
loco_uncertain_subset,42,0.7,simple_condition_only,26,12,14,0.9166666666666666,0.35714285714285715,1.0,0.6428571428571429,SES,8114
loco_uncertain_subset,42,0.7,hybrid_uncertain_signal_fallback,26,12,14,0.8333333333333334,0.5714285714285714,1.0,0.42857142857142855,SES,8114
loco_uncertain_subset,42,0.7,seven_signal_moe_predicted,26,12,14,0.9166666666666666,0.7857142857142857,1.0,0.21428571428571427,SES,8114
loco_uncertain_subset,42,0.8,simple_condition_only,40,15,25,0.9333333333333333,0.52,1.0,0.48,SES,8114
loco_uncertain_subset,42,0.8,hybrid_uncertain_signal_fallback,40,15,25,0.8666666666666667,0.64,1.0,0.36,SES,8114
loco_uncertain_subset,42,0.8,seven_signal_moe_predicted,40,15,25,0.9333333333333333,0.8,1.0,0.2,SES,8114
loco_uncertain_subset,42,0.9,simple_condition_only,63,25,38,0.92,0.6052631578947368,1.0,0.39473684210526316,SES,8114
